Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,26.78196
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12920.6
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7289
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.2633
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.1712458273
adsorption_energy_widom_dev,0.0295310925
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,7.1428466883
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,4.94801e-06
henry_coefficient_dev,1.32627e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0066963603418337, 0.019608960452306, 0.0391426910247, 0.12704454733602, 0.090265666961493, 0.10590173103037, 0.037725396280318, 0.12744989731063, 0.1767847880405, 0.20995481384594, 0.31411855511812, 0.16765851621912, 0.40138085039386, 0.31393919730728, 0.14172636721522, 0.36531712513254, 0.3166324141701, 0.46680911555047], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.10279486081304, 0.39621152447932, 0.70820009603728, 1.0435334259416, 1.401529678413, 1.6998490660158, 2.088527928553, 2.454089311337, 2.8468916569201, 3.1454383231159, 3.609671083667, 3.9742259469673, 4.4220946488167, 4.9773362517111, 5.5011809403901, 6.0089537857012, 6.4919857327371, 6.9447571585229], 'enthalpy_of_adsorption_dev': [0.3416755797228, 0.21853839182526, 0.26813990671223, 0.47436922667598, 0.77258365551703, 0.15327839165898, 0.27118758989965, 0.43827948916216, 0.12651620064354, 0.86806983279705, 1.1260522478029, 0.52216952266926, 0.71826025791325, 0.79613480165956, 0.44010825372278, 0.58392670840505, 0.29148873812078, 0.40757536604225], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.744498848453, -11.932464310361, -11.910800595312, -11.992483100945, -12.37607800587, -12.14294621403, -12.387936694021, -12.535484439567, -12.776164808394, -12.970722273494, -13.195604499763, -13.20715779934, -13.477995310668, -13.767187648101, -14.233059622692, -14.380478494758, -14.3707729083, -14.854176997331]}"
temperature,300
temperature_unit,K
